cLabel,cDesc,cSize,cGenes,cScorePheno,pValZ,pValZCorr,pValPerm,pValPermCorr
GO:0035725,"sodium ion transmembrane transport",50,"ASIC2, SHROOM2, CACNA1H, TPCN1, CACNA1I, TRPM2, ASIC1, HCN1, ASIC4, SCN1A, ATP1B1, HCN3, ATP1A4, SCN1B, SLC20A1, SLC24A2, ATP1B3, SLC3A2, SCN4B, SCN3B, SLC6A17, HCN2, SLC4A9, SCN2A, KCNK1, SLC6A12, HCN4, PKD2L1, SCN8A, SLC8B1, SLC20A2, SCN9A, SLC17A7, SCN7A, SLC8A1, CNNM4, SLC4A11, SLC8A2, SLC24A4, SLC6A13, SLC6A6, SCN3A, CACNA1G, SLC24A3, SLC4A8, SLC6A15, PKD2, SCN2B, SLC6A8, SLC6A7",0.154129371034579,6.63407376277902e-05,0.00776089196610733,0,0
GO:0032868,"response to insulin",36,"EGR1, IRS1, EIF6, TSC1, MAX, ADM, TLR2, EPM2AIP1, HADH, INSIG2, UCP3, SIRT1, FADS1, ZBTB7B, GRB10, STXBP3, LYN, KBTBD2, EGR2, HSD11B2, SORT1, NPPA, FABP3, OPRK1, ACVR1C, KCNQ1, GCNT1, GGH, OGT, ABCC8, GOT2, VGF, GAL, SLC2A1, IGFBP2, CRY1",0.101873002720844,7.4192540059359e-05,0.00776089196610733,0,0
GO:0042127,"regulation of cell proliferation",64,"CDKN1B, PLAU, ARX, BCL6B, BID, PLA2G4A, MAFG, TBX19, SOS1, BIRC6, PURA, RAPGEF2, KIT, CHST11, BRICD5, IER5, TCFL5, NUAK1, JAG2, SGK2, FANCL, CCND3, MBD2, CADM4, STAT4, MITF, NFKBIA, CREB3, IL4R, HRAS, SQLE, GRPR, CNN2, JUN, JUP, STAT6, LTK, BRAF, CIB1, SAV1, TRNP1, NOS2, ESRRA, SIRT1, TSPO, PPP1R9B, SCGB3A1, PRDM1, TOPORS, PDS5B, CLU, SIX3, TNC, DUSP22, FES, PKD2, PLCD3, S100A11, ALK, KCNH1, ANXA1, SLC7A11, FA2H, STAT1",0.0992406203347098,9.68341721829802e-05,0.00776089196610733,0.00024,0.00291636363636364
GO:0001947,"heart looping",30,"MESP1, CCDC103, BBS5, IFT57, IFT172, BBS7, MKKS, ZIC3, SOX17, CCDC39, MEF2C, AHI1, SMO, GJA1, VANGL2, ARL13B, C2CD3, NDRG4, FOLR1, WNT5A, TBR1, CITED2, PKD2, APLNR, SRF, MICAL2, OVOL2, ASB2, SUFU, SMAD3",0.121879928389937,0.000101353636855817,0.00776089196610733,0,0
GO:0006874,"cellular calcium ion homeostasis",43,"ATP2A2, ATP2C2, ATP2C1, PIK3CB, PTH1R, TPT1, TNNI3, STIM1, STOML2, SLC8A1, RYR2, EDN1, ATP1B1, SLC24A3, ATP13A3, ATF4, APOE, ATP2B1, XK, SLC8B1, HTR2C, ATP2B3, CXCL12, STC2, VAPB, DRD2, HEXB, SLC8A2, CCR1, ATP2B2, PRKCB, ATP2B4, SLC24A2, CALR, EDN3, GRIK2, RGN, SLC24A4, STIM2, TMEM165, ATP13A2, EDNRA, HTR2A",0.0899121846789188,0.000126127430404965,0.00776089196610733,0,0
GO:0001570,"vasculogenesis",30,"ZFP36L1, CITED2, VEGFA, MYO1E, FOXF1, GJC1, NTRK2, ADM, TIE1, SOX17, ACKR3, FBXW7, HEG1, ITGAV, FZD4, CCM2, HDAC7, SMO, EGFL7, PAXIP1, GLMN, RASIP1, TNNI3, ZMIZ1, AGGF1, TMEM100, ITGB8, APLNR, TGFBR3L, ZFPM2",0.165714841369932,0.000147442939190445,0.00776089196610733,0,0
GO:0050796,"regulation of insulin secretion",41,"CACNA2D2, ARNTL, RFX3, SLC2A1, CLOCK, ITPR3, UQCC2, PICK1, CARTPT, NEUROD1, KCNJ11, KCNC2, SNAP25, CACNA1E, ENSA, STX1A, PRKCA, CACNA1A, PER2, ADRA2A, CPT1A, HADH, ADRA2C, ABCC8, ICA1, ITPR2, PPP3CB, ITPR1, GNAS, CNR1, CACNA1C, ADCY8, KCNA5, SLC8B1, ALOX5, TNF, KCNB1, KCNS3, IL1B, NOS2, RAPGEF4",0.151256062937929,0.000154933830198489,0.00776089196610733,2e-05,0.00050125
GO:0043647,"inositol phosphate metabolic process",32,"IMPA1, IP6K3, INPP5B, INPP5J, ISYNA1, IP6K2, PLCG2, PLCH2, INPP4A, MINPP1, SYNJ1, CALM1, PLCD4, NUDT11, PLCB4, PLCH1, OCRL, INPP4B, ITPKA, PLCD3, ITPK1, ITPKC, PLCB2, NUDT10, NUDT4, PLCB1, PPIP5K1, PPIP5K2, INPP5D, IMPA2, PLCE1, INPP5A",0.083470279489038,0.000170614158359839,0.00776089196610733,0,0
GO:0035556,"intracellular signal transduction",223,"ARHGAP45, PRKCH, DDX3X, PLCB1, NRG3, ADCY8, KALRN, DGKA, RAC1, CAMK4, DEPDC1, HSPB1, TYK2, ADCY9, SCG2, SHC3, STK39, BRSK2, NRG1, CAMKK1, DVL1, MAPK3, NSMCE1, NET1, ZBTB33, SOCS5, PLEKHM1, MOK, SGK2, MAPKAPK2, ASB8, UNC13C, RGS6, PLCD3, AKAP13, ADRA1B, PLCB2, OXSR1, PREX1, ROCK1, ADCY4, MCF2, BLNK, ADRA1A, NUDT4, SIK2, MINK1, HMOX1, CARHSP1, KIT, CDC42BPB, RAB40B, EDN1, PKN2, GUCY1A2, ADCY2, ASB10, MARK1, KSR2, NUAK1, TNS3, DCLK2, RAB40A, IGFBP5, RPS6KA3, GPR155, SMAD2, MAST4, UNC13B, DEPDC5, AKAP11, DGKI, PRKCA, NIM1K, PRKCD, STAC2, SHC1, RACGAP1, ARFGEF2, LAT, CHN1, CAB39, DGKG, PLCB4, MAST3, ABR, CDC42BPA, DCLK1, PSEN2, MAP4K2, TNIK, ADCY7, ASB13, NRG2, WSB1, PLCG2, PRKD1, CHN2, CIT, RASAL1, SOCS7, MAP3K3, DAPK2, PLCL1, MC1R, MAGI3, MAPK11, PLCH2, KCTD9, PAG1, LYN, PLCD4, PRKCI, GNB1L, PRKAA2, LRRK2, PATJ, GRIP1, PINK1, RAB40AL, PPP1R1A, PPP1R1B, RAPGEF2, TGFBR1, PAK1, ASB6, AKAP7, IRAK1, SH2B3, SIPA1, SDCBP, JAK2, SPSB2, PRKCG, RIT2, DAPK3, ERBB2, MKNK1, JAK1, STK4, MAPK7, RAB40C, HCLS1, PRKCB, ARHGEF4, CNKSR2, SOCS2, NLK, STK17B, TNS1, MAPK13, LAT2, MCF2L, INPP5D, DGKH, PRKAG2, PASK, DVL2, TYROBP, ASB2, PAK3, CBLB, STMN1, NFATC1, CCDC68, CLEC4M, RGS7, CSPG4, PDZD8, MAPK1, HUNK, ADCY3, GUCY1A1, BRSK1, FMN2, PPP1R17, MKNK2, BCR, ARHGEF7, RALGPS1, RPS6KA4, TLK1, DRD2, TLK2, NEK11, RGS14, RGS9, GMIP, LCP2, WNK1, WSB2, DGKB, TFRC, STK17A, DEPTOR, RASSF5, DUSP1, NLRX1, SYK, BRAF, MAPK6, PLA2G4C, UNC13A, RPS6KA2, MAPK10, RGL2, NPR2, SPHK1, ARHGEF28, SRPK1, PRKAR2A, VAV3, ASB5, DGKD, SRPK3, STK32C, ITGB1BP1, ADCY1, RASA3, ARHGAP29, SHC2, DLG5, CORO2A",0.0797104707366605,0.00017418460771812,0.00776089196610733,0.00026,0.00306647058823529
GO:0042752,"regulation of circadian rhythm",38,"NR1D1, PPP1CB, NONO, TIMELESS, PER1, PROX1, CLOCK, BHLHE40, OPN4, OPN3, PRKAA2, NR1H3, ID2, RORB, SRRD, ADCY1, FBXL3, KLF10, SIAH2, CRY1, ATG7, NR1D2, MAGEL2, CREM, DDB1, FBXW7, UBE3A, USP9X, MAGED1, PRKCG, PPARGC1A, MAPK10, PPP1CC, TARDBP, BTRC, ROCK2, PER2, PPARG",0.147576145939937,0.00022355968815535,0.00896474349502955,8e-05,0.00139478260869565
